,Question,Answer
10,Tầm nhìn của Trường Quốc tế là gì?,"Tầm nhìn của Trường Quốc tế là một trung tâm đào tạo, nghiên cứu, chuyển giao tri thức, tiên phong theo hướng đa ngành, đa lĩnh vực đáp ứng yêu cầu xã hội, có tính hội nhập cao, đạt chuẩn kiểm định quốc tế, xuất khẩu các sản phẩm giáo dục tại chỗ và ra một số nước trong khu vực; trở thành một trung tâm đổi mới sáng tạo quốc tế trong Đại học Quốc gia Hà Nội, tập hợp các nhà khoa học liên ngành giải quyết các vấn đề khoa học, kỹ thuật, xã hội phức tạp mang tầm khu vực và quốc tế; xây dựng một môi trường tự do học thuật, đa văn hóa, giao thoa giữa các ngành, các lĩnh vực."
11,Hướng nghiên cứu của TS.Kim Đình Thái là gì?,"Hướng nghiên cứu của TS.Kim Đình Thái là Khoa học dữ liệu và Trí tuệ nhân tạo, Lý thuyết Điều khiển và Robot, Hệ thống nhúng và IoT."
12,Thứ tự ưu tiên của các tiêu chí xét học bổng ? ,"Thứ tự ưu tiên của các tiêu chí xét học bổng là như sau:

1. Kết quả học tập theo kỳ
2. Kết quả rèn luyện theo kỳ
3. Tổng số tín chỉ tích lũy trong kỳ
4. Các thành tích, giải thưởng khác
5. Hoàn cảnh gia đình
6. Các đóng góp cho phong trào, xã hội
7. Trung bình chung kết quả học tập tích lũy
8. Trung bình chung kết quả rèn luyện tích lũy
9. Tổng số tín chỉ tích lũy trong toàn khoá học"
13,"Thông tin chi tiết, cụ thể về học bổng Nhà khoa học trẻ","Thông tin chi tiết và cụ thể về học bổng Nhà Khoa học trẻ bao gồm:

- Mức học bổng: Theo Quy chế chi tiêu nội bộ.
- Tiêu chí:
  - Sinh viên là tác giả hoặc đồng tác giả sản phẩm khoa học công nghệ đạt giải hoặc được nghiệm thu cấp Nhà nước, cấp Bộ, cấp Đại học Quốc gia Hà Nội;
  - Sinh viên là tác giả các bài báo đăng trên tạp chí khoa học quốc tế thuộc hệ thống cơ sở dữ liệu WoS/Scopus hoặc các báo cáo khoa học đăng kỷ yếu hội nghị, hội thảo thuộc WoS/Scopus;
  - Sinh viên đạt giải thưởng các cuộc thi về khoa học công nghệ cấp quốc gia, quốc tế;
  - Địa chỉ tác giả trên các sản phẩm KH&CN, bài báo là địa chỉ Trường Quốc tế, ĐHQGHN;
  - Được Hội đồng Thi đua, khen thưởng và Kỷ luật sinh viên phê duyệt.
- Chỉ tiêu: Xác định theo từng năm."
14,Một số công bố của Giảng viên tập sự Đỗ Mạnh Dũng là gì?,"Một số công bố của Giảng viên tập sự Đỗ Mạnh Dũng là:

1. ""A Model-Free Approach for Output Regulation of Uncertain 4 DOF Serial Robot with Disturbance"", International Conference on Control, Automation & Information Sciences (ICCAIS).
2. ""Data-Driven Output Regulation of Uncertain 6 DOF AUV via Lagrange Interpolation"", International Conference on Control, Automation & Information Sciences (ICCAIS), 2022.
3. ""Optimizing Reference Model for Disturbance Rejection Controller for 3-DoF Robot Manipulator"", International Conference on Reasearch in Intelligent Computing in Engineering (RICE) 2022."
15,Học viên CTĐT thạc sĩ sẽ đạt được những kiến thức và kỹ năng nào khi hoàn thành chương trình đào tạo đại học ngành Công nghệ tài chính và Kinh doanh số?,"Học viên CTĐT thạc sĩ sẽ đạt được những kiến thức và kỹ năng sau khi hoàn thành chương trình đào tạo đại học ngành Công nghệ tài chính và Kinh doanh số:

**Kiến thức:**
- Áp dụng thành thạo và tổng hợp kiến thức liên ngành giữa công nghệ thông tin và tài chính, kinh doanh.
- Vận dụng được các kiến thức thực tế vững chắc, kiến thức lý thuyết sâu rộng trong phạm vi ngành Công nghệ tài chính và Kinh doanh số.
- Nắm vững và vận dụng thành thạo các kiến thức về công nghệ thông tin đáp ứng yêu cầu công việc.
- Tổng hợp được các kiến thức về lập kế hoạch, tổ chức và giám sát các quá trình trong một lĩnh vực hoạt động cụ thể.
- Vận dụng thành thạo và tổng hợp được các kiến thức cơ bản về quản lý, điều hành hoạt động chuyên môn.

**Kỹ năng:**
- Kỹ năng nghề nghiệp, khả năng lập luận tư duy và giải quyết vấn đề, khả năng nghiên cứu và khám phá kiến thức, khả năng tư duy theo hệ thống.
- Kỹ năng dẫn dắt, khởi nghiệp, tạo việc làm cho mình và cho người khác.
- Kỹ năng phản biện, phê phán và sử dụng các giải pháp thay thế trong điều kiện môi trường không xác định hoặc thay đổi.
- Kỹ năng đánh giá chất lượng công việc sau khi hoàn thành và kết quả thực hiện của các thành viên trong nhóm.
- Kỹ năng truyền đạt vấn đề và giải pháp tới người khác tại nơi làm việc; chuyển tải, phổ biến kiến thức, kỹ năng trong việc thực hiện những nhiệm vụ cụ thể hoặc phức tạp.
- Kỹ năng ngoại ngữ: có năng lực tiếng Anh tối thiểu trình độ bậc 4/6 theo Khung năng lực ngoại ngữ 6 bậc dùng cho Việt Nam hoặc tương đương theo quy định của ĐHQGHN.

**Năng lực tự chủ và trách nhiệm:**
- Làm việc độc lập hoặc làm việc theo nhóm trong điều kiện làm việc thay đổi, chịu trách nhiệm cá nhân và trách nhiệm đối với nhóm.
- Hướng dẫn, giám sát những người khác thực hiện nhiệm vụ xác định.
- Tự định hướng, đưa ra kết luận chuyên môn và có thể bảo vệ được quan điểm cá nhân.
- Lập kế hoạch, điều phối, quản lý các nguồn lực, đánh giá và cải thiện hiệu quả các hoạt động.

**Khả năng học tập, nâng cao trình độ sau khi tốt nghiệp:**
- Có khả năng tự cập nhật các kiến thức mới liên quan đến công nghệ tài chính và kinh doanh số.
- Có khả năng nghiên cứu, học tập độc lập trong các môi trường nghiên cứu tại các trung tâm nghiên cứu, học viện, đại học hàng đầu trong và ngoài nước với đầy đủ các kỹ năng về ngoại ngữ và nghiên cứu chuyên sâu."
16,"Công cụ trắc nghiệm ""Who are you?"" giúp thí sinh khám phá điều gì về bản thân?","Công cụ trắc nghiệm ""Who are you?"" giúp thí sinh khám phá định hướng nghề nghiệp phù hợp qua việc tìm hiểu những hoạt động mà họ hứng thú nhất, đồng thời chỉ ra một số lĩnh vực công việc chung nằm trong khả năng nghề nghiệp của họ."
17,Các môn học TS. Thân Văn Thái giảng dạy là gì?,"Các môn học TS. Thân Văn Thái giảng dạy là Phương pháp nghiên cứu khoa học, Công nghệ sinh học trong Y học, và Miễn dịch học ứng dụng."
18,Một số công bố của giảng viên tập sự Hoàng Duy là gì?,"Một số công bố của giảng viên tập sự Hoàng Duy là:

1. Pham, Hung Van, Quoc-Dong Hoang, Minh Van Pham, Dung Manh Do, Nha Hoang Phi, Duy Hoang, Hai Xuan Le, Thai Dinh Kim, and Linh Nguyen. 2022. “An Efficient Adaptive Fuzzy Hierarchical Sliding Mode Control Strategy for 6 Degrees of Freedom Overhead Crane” Electronics11, no. 5: 713.

2. Duy Hoang, Dung Manh Do, Nam Nguyen Hoai, Phuoc Nguyen Doan, “A Model-Free Approach for Output Regulation of Uncertain 4 DOF Serial Robot with Disturbance”, International Conference on Control, Automation & Information Sciences (ICCAIS),"""
19,"Yêu cầu về năng lực, kinh nghiệm nghiên cứu chương trình Tiến sĩ Tin học và kĩ thuật máy tính ? ","Yêu cầu về năng lực và kinh nghiệm nghiên cứu chương trình Tiến sĩ Tin học và Kỹ thuật Máy tính bao gồm:

1. Có kinh nghiệm nghiên cứu thể hiện qua luận văn thạc sĩ và các công trình công bố theo quy định của ĐHQGHN.
2. Có dự thảo đề cương nghiên cứu chi tiết, bao gồm mục tiêu, phương pháp, nội dung nghiên cứu và kế hoạch thực hiện.
3. Có thư giới thiệu từ nhà khoa học có chức danh giáo sư, phó giáo sư hoặc học vị tiến sĩ tương ứng với chuyên ngành.
4. Luận án tiến sĩ phải có kết quả nghiên cứu mới, vận dụng phương pháp toán học và chứng minh bằng lý thuyết hoặc thực nghiệm.
5. Luận án được viết bằng tiếng Anh hoặc tiếng Việt, với ít nhất 50% số trang trình bày kết quả nghiên cứu và biện luận của nghiên cứu sinh.
6. Luận án phải đáp ứng các yêu cầu về chất lượng và nội dung như đã nêu trong chuẩn đầu ra của chương trình."
20,"Mục tiêu chiến lược của Trường Quốc tế trong giai đoạn tới là gì, và Trường sẽ tập trung vào những lĩnh vực nào để đáp ứng yêu cầu của cuộc Cách mạng công nghiệp lần thứ tư?","Mục tiêu chiến lược của Trường Quốc tế trong giai đoạn tới là trở thành một đầu mối (Hub) giáo dục quốc tế uy tín tại Việt Nam. Trường sẽ tập trung vào các lĩnh vực kỹ thuật công nghệ, kinh tế, quản lý, tài chính, khoa học dữ liệu, AI, IoTs, học máy, quang tử, y sinh, kinh doanh, quản trị, công nghệ thông tin, du lịch và khách sạn để đáp ứng yêu cầu của cuộc Cách mạng công nghiệp lần thứ tư."
21,Những kiến thức nền tảng và chuyên sâu nào về Marketing sẽ giúp sinh viên tốt nghiệp có thể lập kế hoạch và triển khai hoạt động marketing tại doanh nghiệp?,"Những kiến thức nền tảng và chuyên sâu về Marketing mà sinh viên tốt nghiệp cần nắm vững để lập kế hoạch và triển khai hoạt động marketing tại doanh nghiệp bao gồm:

- Kiến thức cơ bản về khoa học xã hội, khoa học chính trị, pháp luật và ngoại ngữ (tiếng Anh).
- Kiến thức cơ bản trong các lĩnh vực kinh tế, xã hội học.
- Đánh giá tác động của môi trường kinh doanh và các yếu tố liên quan đến toàn cầu hóa, nền kinh tế 4.0, sự phát triển công nghệ, đổi mới và phát triển bền vững đến hoạt động Marketing.
- Xác định được các học thuyết và quy luật kinh tế, cách thức vận hành của thị trường, vai trò tác động của chính phủ đối với nền kinh tế.
- Áp dụng kiến thức Marketing để lập kế hoạch, triển khai tổ chức hoạt động quản trị marketing trong doanh nghiệp.
- Vận dụng các kiến thức chuyên ngành để tổ chức các hoạt động như Quản trị kênh phân phối, truyền thông marketing, truyền thông số, quản trị sản phẩm và các hoạt động quản trị marketing khác nhằm thích ứng quá trình hội nhập quốc tế.

Đồng thời, sinh viên cần phát triển kỹ năng tổng hợp và phân tích thông tin và dữ liệu liên quan đến Marketing, tự học tập và cập nhật kiến thức, phát triển năng lực phân tích vấn đề một cách khoa học, tư duy sáng tạo, đổi mới trong tiếp cận và ứng dụng công nghệ, giải quyết vấn đề chuyên môn nghiệp vụ, xây dựng kỹ năng giao tiếp, đàm phán, thuyết phục, sử dụng phần mềm Microsoft Office phù hợp."
22,"Các phương pháp đánh giá nào được áp dụng trong chương trình Liên kết quốc tế ngành Quản trị khách sạn, thể thao và du lịch để phát triển kỹ năng tự học, tư duy sáng tạo và khả năng làm việc nhóm của sinh viên?","Các phương pháp đánh giá được áp dụng trong chương trình này bao gồm:

- Các bài kiểm tra ngắn
- Tiểu luận cá nhân và tiểu luận nhóm
- Báo cáo dạng tiểu luận kèm thuyết trình
- Nghiên cứu tình huống
- Thực tế doanh nghiệp và bài thi cuối kỳ

Mục đích của các phương pháp đánh giá này là nhằm nâng cao ý thức tự giác trong học tập, năng lực tự học, tự nghiên cứu, phát triển tư duy sáng tạo, rèn luyện kỹ năng thực hành, nâng cao kỹ năng làm việc nhóm, kỹ năng tìm kiếm và xử lý thông tin của sinh viên."
23,Giá trị học bổng Hiệu trưởng VNUIS – HELP là bao nhiêu?,"Giá trị học bổng Hiệu trưởng VNUIS – HELP là 30.000.000 VNĐ/sinh viên, tương đương với 1.288 Đô la Mỹ."
24,Một số đề tài và dự án của Chuyên viên Vũ Thị Sương Mai là gì?,"Một số đề tài và dự án của Chuyên viên Vũ Thị Sương Mai bao gồm:
1. Nghiên cứu sự chấp nhận vaccine COVID-19 của người Việt Nam năm 2021. Đề tài Khoa Quốc Tế.
2. Willingness of Receiving COVID-19 Vaccines, Mental Health, and Prevention Measures Among University Students 2021. Đề tài SATU.
3. Proportion of different aesthetic surgery and some related factors to the surgery decision: A study from Vietnam."
25,Một số đề tài và dự án của TS. Nguyễn Anh Tuấn là gì?,"Một số đề tài và dự án của TS. Nguyễn Anh Tuấn bao gồm:

1. Nghiên cứu, thiết kế cảm biến quang tích hợp sử dụng cấu trúc plasmonic lai ghép vật liệu silic, mã số: QG.19.58, Chủ nhiệm, chưa nghiệm thu.
2. Nghiên cứu thiết kế, chế tạo hệ thống mạng thông tin cảm biến không dây đa chặng ứng dụng trong số hóa, giám sát quy trình chăm sóc cây trồng có giá trị kinh tế cao phục vụ canh tác đa nhóm hộ, Chương trình KH&CN cấp thành phố Hà Nội, mã số CT: 01C-02, thư ký, thành viên chính, nghiệm thu năm 2022."
26,"Thông tin chi tiết, cụ thể về học bổng CPA Austrailia","Thông tin chi tiết, cụ thể về học bổng CPA Austrailia bao gồm:

1. **Giá trị học bổng**: Mỗi suất học bổng trị giá 1,600 đô la Úc (tương đương hơn 28 triệu đồng), bao gồm chi phí cho một (01) môn thi trong Chương trình CPA, phí xét hồ sơ và phí trở thành hội viên dự bị của CPA Australia.

2. **Điều kiện và điều khoản**:
   - Học bổng chỉ được trao khi ứng viên nhận được thư mời làm việc tại một trong các doanh nghiệp đối tác của chương trình học bổng này.
   - Học bổng không được chuyển đổi ra tiền mặt hay bất kỳ hình thức tài chính nào khác.
   - Ứng viên phải hoàn thành nộp hồ sơ học Chương trình CPA, trở thành hội viên dự bị và đăng ký môn thi đầu tiên trong năm 2021.
   - Ứng viên cam kết làm việc cho doanh nghiệp đối tác của CPA Australia trong ít nhất 1 năm.

3. **Tiêu chí cấp học bổng**:
   - Sinh viên theo học các chương trình được CPA Australia kiểm định thành công, đến thời điểm chính thức nhận học bổng đã hoàn thành toàn bộ các môn học của chương trình cử nhân đó (có thể đã nhận bằng tốt nghiệp hoặc đang đợi bằng).
   - Có kết quả học lực ở mức tối thiểu 3.0/4
   - Tiếng Anh tốt là một lợi thế
   - Có định hướng theo ngành và mong muốn làm việc tại các công ty đối tác của chương trình học bổng này
   - Có kỹ năng lãnh đạo, tham gia hoạt động sinh viên là một lợi thế (nhưng không bắt buộc)
   - Ưu tiên ứng viên được nhà trường (hoặc doanh nghiệp) đề cử. Các ứng viên đang đi thực tập tại các doanh nghiệp (trong trang 3) cũng được tham gia."
27,Bạn tên là gì,"Tôi tên là VNU-IS Virtual Assistant, hỗ trợ bạn giải đáp những thắc mắc liên quan đến Trường Quốc Tế - Đại học Quốc gia Hà Nội."
28,"Tôi muốn nghiên cứu về lĩnh vực kế toán và kiểm toán, tôi nên đăng ký giảng viên hướng dẫn là ai?","Theo ngữ cảnh đã cung cấp, bạn nên đăng ký giảng viên hướng dẫn là Thầy Chu Huy Anh. Hướng nghiên cứu của Thầy Chu Huy Anh là về lĩnh vực Accounting (Kế toán), cụ thể là ""Ứng dụng IFRS tại Việt Nam"". Đây là một chủ đề liên quan đến lĩnh vực kế toán và kiểm toán, phù hợp với mục tiêu nghiên cứu của bạn."
29,Các trường hợp xem xét tạm dừng/ ngưng cấp học bổng dành cho sinh viên Quốc tế,"Các trường hợp xem xét tạm dừng/ ngưng cấp học bổng dành cho sinh viên Quốc tế bao gồm:

1. Điểm trung bình chung học tập tại học kỳ dưới 3.0 (trên thang 4.0).
2. Số lượng tín chỉ tích lũy trong 1 học kỳ dưới 14 tín chỉ đối với chương trình do Đại học Quốc gia Hà Nội cấp bằng, dưới 10 tín chỉ đối với chương trình do đối tác cấp bằng (không áp dụng đối với sinh viên đang theo học chương trình tiếng Anh dự bị trong thời hạn 02 học kỳ đầu tiên của khóa học và học kì cuối cùng của chương trình đào tạo).
3. Điểm rèn luyện dưới 70 (trên thang điểm 100).
4. Bảo lưu kết quả học tập.
5. Chưa hoàn thành nghĩa vụ học phí và các nghĩa vụ khác theo quy định của Trường Quốc tế tại thời điểm xét học bổng.
6. Vi phạm quy chế ở mức độ đình chỉ thi.
7. Sinh viên không đáp ứng yêu cầu về trình độ tiếng Anh theo quy định của từng chương trình đào tạo (chi tiết xem tại Phụ lục số 1 của Quy định này).
8. Sinh viên bị kỷ luật tại Trường từ mức Khiển trách trở lên.
9. Sinh viên thuộc một trong các trường hợp tạm dừng cấp học bổng (tham chiếu theo mục 4.1, khoản 4, điều 9, chương II) trong hai kì học liên tiếp, hoặc trong ba kỳ học không liên tiếp trong toàn khoá học."
30,Những chương trình trọng tâm nào được Trường Quốc tế triển khai nhằm nâng cao chất lượng đào tạo và nghiên cứu là gì?,"Trường Quốc tế triển khai các chương trình trọng tâm như sau nhằm nâng cao chất lượng đào tạo và nghiên cứu:

1. Nâng cao chất lượng đào tạo đại học.
2. Tổ chức quản lý và đào tạo sau đại học.
3. Thu hút sinh viên quốc tế.
4. Phát triển con người sinh viên Trường Quốc tế.
5. Nâng cao chất lượng và đa dạng hóa các hoạt động khoa học và công nghệ.
6. Mở rộng hợp tác quốc tế và thu hút nguồn nhân lực quốc tế.
7. Ứng dụng công nghệ thông tin trong các hoạt động quản lý và giảng dạy.
8. Định vị thương hiệu Trường Quốc tế.
9. Triển khai các hoạt động tại cơ sở Hòa Lạc."
31,Phương pháp giảng dạy của Hệ thống thông tin quản lý là?,"Phương pháp giảng dạy của Hệ thống thông tin quản lý bao gồm các yếu tố sau:

1. Áp dụng phương pháp dạy học tiên tiến của các trường đại học uy tín trên thế giới, phù hợp với phương thức đào tạo tín chỉ của ĐHQGHN.
2. Thông qua các giờ giảng của giảng viên nước ngoài, chương trình tiếp thu phương pháp giảng dạy tiên tiến từ các nền giáo dục hiện đại như Mỹ, Úc và một số quốc gia khác.
3. Hướng dẫn sinh viên tự học theo kiểu nghiên cứu.
4. Chú trọng phát triển các kỹ năng nghề nghiệp, khả năng thực hành và ứng dụng thực tế cho sinh viên.
5. Khuyến khích làm việc theo nhóm, tham gia bài tập tình huống, tổ chức thảo luận, trao đổi, hướng dẫn nghiên cứu khoa học, viết báo cáo, trình bày trên lớp các bài tập lớn.
6. Tổ chức thực tập, kiến tập cho sinh viên ở các cơ quan, doanh nghiệp liên quan, bao gồm cả ở nước ngoài, theo yêu cầu của chương trình."
32,Những cơ hội việc làm nào trong lĩnh vực xuất nhập khẩu và logistics dành cho học viên sau khi tốt nghiệp ngành Kinh doanh quốc tế?,"Học viên Chương trình Thạc sĩ Kinh doanh Quốc tế có cơ hội làm việc trong lĩnh vực xuất nhập khẩu và logistics tại các vị trí như chuyên viên xuất nhập khẩu, chuyên viên kinh doanh dịch vụ giao vận (forwarder, logistics), chuyên viên kinh doanh cước tàu biển, hàng không, chuyên viên thanh toán quốc tế, chuyên viên tiền tệ quốc tế và kinh doanh tiền tệ tại các ngân hàng thương mại, chuyên gia quản trị chuỗi cung ứng tại các doanh nghiệp trong và ngoài nước, các tập đoàn đa quốc gia."
33,"Tôi muốn nghiên cứu về lĩnh vực kinh tế vĩ mô, kinh tế năng lượng và kinh tế môi trường, tôi nên đăng ký giảng viên hướng dẫn là ai?","Thầy Nghiêm Xuân Hòa là giảng viên hướng dẫn phù hợp cho lĩnh vực kinh tế vĩ mô, kinh tế năng lượng và kinh tế môi trường theo thông tin đã cung cấp."
34,Danh sách cán bộ của Phòng Kế Hoạch - Tài Chính của Trường Quốc Tế gồm những ai?,"Danh sách cán bộ của Phòng Kế Hoạch - Tài Chính của Trường Quốc Tế gồm: Nguyễn Thị Tân (Trưởng phòng), Nguyễn Hữu Khánh, Trịnh Thị Hương, Nguyễn Thị Phượng, Lê Hồng Nhung, Nguyễn Thị Huyền Trang, và Nguyễn Thị Xuân."
35,Hướng nghiên cứu của PGS. TS Trần Thị Ngân là gì?,Hướng nghiên cứu của PGS. TS Trần Thị Ngân là Trí tuệ nhân tạo và Các phương pháp phân cụm mờ.
36,Sinh viên chương trình Cử nhân ngành Marketing (song bằng) sẽ nhận được những lợi ích gì từ việc được đào tạo hoàn toàn bằng tiếng Anh?,"Sinh viên chương trình Cử nhân ngành Marketing (song bằng) sẽ được đào tạo hoàn toàn bằng tiếng Anh, mang lại cho họ nhiều lợi ích như:

1. Phát triển kỹ năng ngoại ngữ: Được học và làm việc hoàn toàn bằng tiếng Anh giúp tăng cường khả năng giao tiếp và hiểu biết về ngôn ngữ này.

2. Tiếp cận nền giáo dục tiên tiến: Chương trình được thiết kế dựa trên chương trình khung của Trường Đại học HELP (Malaysia), một trong những trung tâm giáo dục bậc cao của Malaysia.

3. Nhận bằng song bằng: Sinh viên sẽ được cấp hai bằng, bao gồm bằng Cử nhân Kinh doanh (Marketing) của Trường Đại học HELP, Malaysia và bằng Cử nhân ngành Marketing của Đại học Quốc gia Hà Nội.

4. Phát triển tư duy sáng tạo và kỹ năng học tập: Chương trình áp dụng phương pháp dạy học tiên tiến nhằm nâng cao ý thức tự giác, năng lực tự học, tự nghiên cứu, phát triển tư duy sáng tạo và rèn luyện kỹ năng thực hành.

5. Cơ hội việc làm rộng mở: Với kiến thức chuyên môn sâu và kỹ năng ngoại ngữ tốt, sinh viên có nhiều cơ hội việc làm trong và ngoài nước."
37,Sứ mệnh của Trường Quốc tế là gì?,"Sứ mệnh của Trường Quốc tế là đào tạo nguồn nhân lực chất lượng cao đáp ứng nhu cầu của thị trường lao động trong nước và quốc tế, áp dụng sáng tạo các thành tựu giáo dục, khoa học và công nghệ tiên tiến vào môi trường văn hóa Việt Nam, thực hiện đào tạo toàn bộ các chương trình bằng ngoại ngữ. Sứ mệnh này được thực hiện theo 3 trụ cột: (1) sáng tạo tri thức mới, chuyển giao tri thức, kỹ năng cho người học và phụng sự xã hội, đóng góp cho sự phát triển của đất nước; (2) hoàn thành xuất sắc các nhiệm vụ do ĐHQGHN giao; (3) tự chủ tài chính."
38,Thời gian bắt đầu và kết thúc các ca học của Trường Quốc Tế  - ĐHQGHN,"Thời gian bắt đầu các ca học là từ 7h đến 9h40, và thời gian kết thúc là từ 9h40 đến 12h30."
39,"Tôi muốn nghiên cứu về lĩnh vực khoa học ngôn ngữ và luật học, tôi nên đăng ký giảng viên hướng dẫn là ai?","Để nghiên cứu về lĩnh vực khoa học ngôn ngữ và luật học, bạn nên đăng ký với giảng viên hướng dẫn là Thầy Vũ Xuân Đoàn. Hướng nghiên cứu của Thầy Vũ Xuân Đoàn là về lĩnh vực Language Sciences, Jurisprudence (Khoa học ngôn ngữ, luật học)."
40,Các môn học ThS.Bùi Nhật Lệ giảng dạy là gì?,ThS.Bùi Nhật Lệ giảng dạy môn Sinh học đại cương.
41,Ngành Quản lý (mã ngành QHQ07) có bao nhiêu chỉ tiêu tuyển sinh và điểm chuẩn năm 2023 là bao nhiêu?,Ngành Quản lý (mã ngành QHQ07) có 60 chỉ tiêu tuyển sinh và điểm chuẩn năm 2023 là 21.
42,"Tiêu chuẩn ""học tập tốt"" yêu cầu sinh viên phải đạt điểm trung bình chung học tập từ bao nhiêu điểm trở lên?","Tiêu chuẩn ""học tập tốt"" yêu cầu sinh viên phải đạt điểm trung bình chung học tập từ 3.2/4.0 trở lên."
